window_start,window_end,meanx,meany,meanz,sdx,sdy,sdz,meanxg,meanyg,meanzg,sdxg,sdyg,sdzg,label,interval_ms,long_interval
1744005573372,1744005573394,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.006267292,0.004856234,-0.039705064,0.88486874,0.46620426,0.26909786,1,22,False
1744005573394,1744005573413,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.019438686,0.016547857,-0.043070827,0.89792836,0.47365835,0.26956823,1,19,False
1744005573413,1744005573431,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.003965924,0.008112049,-0.042930342,0.9045723,0.46907166,0.26935375,1,18,False
1744005573431,1744005573451,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.024142215,0.015430004,-0.038721606,0.8918681,0.45873445,0.27380732,1,20,False
1744005573451,1744005573470,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.003420746,0.015020737,-0.0459296,0.8841423,0.45875606,0.26989326,1,19,False
1744005573470,1744005573491,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.024446107,-0.001466028,-0.04080459,0.89207166,0.4558678,0.26553872,1,21,False
1744005573491,1744005573509,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.00915813,0.013615787,-0.044225335,0.9104,0.4555505,0.26397625,1,18,False
1744005573509,1744005573530,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-6.87e-05,0.015723212,-0.05730357,0.91069686,0.4550111,0.2612772,1,21,False
1744005573530,1744005573549,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,0.008104418,-0.003158078,-0.054621954,0.91203916,0.46061736,0.26179543,1,19,False
1744005573549,1744005573570,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.022738792,0.002498367,-0.06304553,0.9277017,0.46323195,0.2590502,1,21,False
1744005573570,1744005573588,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.058920797,0.013218736,-0.08013094,0.8702892,0.4549788,0.2558142,1,18,False
1744005573588,1744005573608,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.053074993,0.002443392,-0.08387544,0.87311393,0.46644142,0.25013265,1,20,False
1744005573608,1744005573628,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.045983057,-0.012094772,-0.08499329,0.86499786,0.45413402,0.2498285,1,20,False
1744005573628,1744005573647,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.053985164,-0.005900778,-0.09375284,0.8640907,0.4550598,0.25424045,1,19,False
1744005573647,1744005573667,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.048756305,-0.009358174,-0.09579918,0.864413,0.45737678,0.25272763,1,20,False
1744005573667,1744005573686,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.02918934,-0.028037881,-0.09008776,0.8419437,0.4445456,0.25243455,1,19,False
1744005573686,1744005573706,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.031834308,-0.022601342,-0.097601175,0.8423421,0.44477677,0.25291577,1,20,False
1744005573706,1744005573727,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.047795743,-0.02272962,-0.09504172,0.8405802,0.44481167,0.2529888,1,21,False
1744005573727,1744005573745,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.03301324,-0.047242917,-0.09073526,0.8344483,0.41785434,0.25276193,1,18,False
1744005573745,1744005573765,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.029653583,-0.048647866,-0.0922807,0.8359875,0.41835725,0.25176862,1,20,False
1744005573765,1744005573785,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.041039772,-0.041055035,-0.09786995,0.8329161,0.41316068,0.2435275,1,20,False
1744005573785,1744005573805,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.038193226,-0.051775407,-0.092598334,0.83228326,0.40323463,0.24281944,1,20,False
1744005573805,1744005573824,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.03502904,-0.055635963,-0.09076579,0.8329961,0.40375525,0.24426027,1,19,False
1744005573824,1744005573843,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.05241375,-0.04808589,-0.09297095,0.82916665,0.40057752,0.24153727,1,19,False
1744005573843,1744005573864,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.043477055,-0.055177826,-0.09317253,0.8268219,0.39502603,0.24149063,1,21,False
1744005573864,1744005573883,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.04428948,-0.06336317,-0.08898213,0.8266633,0.39556956,0.24441928,1,19,False
1744005573883,1744005573903,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.041131396,-0.06538508,-0.090869635,0.8256587,0.39489573,0.24272065,1,20,False
1744005573903,1744005573922,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.048693687,-0.067541376,-0.08994116,0.8224121,0.3943882,0.24301226,1,19,False
1744005573922,1744005573942,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.04673287,-0.072782435,-0.08729618,0.82278407,0.3963328,0.2466268,1,20,False
1744005573942,1744005573962,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.030844726,-0.08216505,-0.085866794,0.8216554,0.38950878,0.24711704,1,20,False
1744005573962,1744005573982,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.05034298,-0.07782804,-0.08024089,0.81498814,0.39006922,0.24905759,1,20,False
1744005573982,1744005574001,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.034717496,-0.082922496,-0.07978886,0.8122577,0.38935786,0.24943909,1,19,False
1744005574001,1744005574020,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.052181624,-0.07984994,-0.071273655,0.8019679,0.3899599,0.24742965,1,19,False
1744005574020,1744005574040,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.044558253,-0.08177411,-0.066246375,0.80038875,0.38955116,0.24996333,1,20,False
1744005574040,1744005574060,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.04131465,-0.0867342,-0.05498235,0.80053896,0.3880867,0.24908383,1,20,False
1744005574060,1744005574079,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.056952342,-0.07256253,-0.04991843,0.79432124,0.38300985,0.25022978,1,19,False
1744005574079,1744005574100,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.04030675,-0.076142095,-0.04064577,0.7874106,0.38189375,0.25148305,1,21,False
1744005574100,1744005574120,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.035267264,-0.08594621,-0.021317042,0.7875952,0.37569737,0.23460321,1,20,False
1744005574120,1744005574137,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.035994172,-0.07429734,-0.01581331,0.787731,0.3724907,0.23551169,1,17,False
1744005574137,1744005574159,-0.5512047,8.597454,5.483219,0.99720144,1.8137771,2.3325915,-0.008932111,-0.080375284,-0.0074447,0.7630287,0.36749497,0.2323191,1,22,False
